N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
1900,0.0015236,2708.41,0.00163421,0.017557,13,24281118,16,21,20,20,11,106799,20951164
1910,0.0015358,2744.74,0.001563,0.072463,13,24414265,16,21,20,20,11,107068,21021406
1920,0.00151669,2731.56,0.0015955,0.01602,13,24609197,16,21,20,20,11,107402,21119752
1930,0.00152121,2761.56,0.00158803,0.018253,13,24812262,16,21,20,20,11,107767,21234331
1940,0.00152131,2771.96,0.00157744,0.023382,13,24904369,16,21,20,20,11,107885,21278917
1950,0.00151594,2774.3,0.00158414,0.016849,13,25015331,16,21,20,20,11,108109,21349585
1960,0.00151066,2779.75,0.00153956,0.008215,13,25154381,16,21,20,20,11,108297,21410099
1970,0.00150499,2784.97,0.00156842,0.020463,13,25299812,16,21,20,20,11,108473,21490644
1980,0.00150234,2788.88,0.00155362,0.020655,13,25380083,16,21,20,20,11,108606,21530618
1990,0.00151375,2823.74,0.00155987,0.030015,13,25505263,16,21,20,20,11,108887,21612227
2000,0.00150567,2825.33,0.00158846,0.015431,13,25660583,16,21,20,20,11,109150,21703936
2010,0.00150631,2847.19,0.00157549,0.016999,13,25854867,16,21,20,20,11,109503,21804334
2020,0.00150864,2861.7,0.00160411,0.650159,13,25946959,16,21,20,20,11,109670,21856127
2030,0.001503,2861.94,0.00155514,0.013436,13,26048372,16,21,20,20,11,109825,21910896
2040,0.0015074,2879.33,0.00155374,0.018405,13,26130345,16,21,20,20,11,109931,21949534
2050,0.00150708,2891.95,0.00156077,0.030234,13,26252300,16,21,20,20,11,110140,22066204
2060,0.00150356,2898.55,0.00157044,0.038071,13,26376783,16,21,20,20,11,110382,22166342
2070,0.00150506,2912.02,0.00158496,0.017028,13,26474828,16,21,20,20,11,110552,22241277
2080,0.00151117,2937.66,0.00154875,0.017087,13,26602058,16,21,20,20,11,110787,22333740
2090,0.00150491,2936.47,0.00157998,0.020109,13,26704538,16,21,20,20,11,110996,22417094
2100,0.00150721,2957.43,0.00158012,0.015175,13,26858532,16,21,20,20,11,111309,22512338
2110,0.00150495,2965.07,0.00155601,0.024406,13,26970314,16,21,20,20,11,111523,22579907
2120,0.00151218,2995.32,0.00157024,0.016796,13,27118179,16,21,20,20,11,111864,22676608
2130,0.00150778,2999.64,0.00155082,0.015214,13,27239146,16,21,20,20,11,112038,22741352
2140,0.00150948,3015.74,0.00156214,0.016351,13,27356762,16,21,20,20,11,112229,22822207
2150,0.00150465,3019.2,0.00157316,0.017633,13,27477574,16,21,20,20,11,112406,22898537
2160,0.00150668,3039.54,0.00155404,0.018402,13,27629491,16,21,20,20,11,112646,22970468
2170,0.0015014,3041.63,0.00155655,0.013291,13,27747215,16,21,20,20,11,112867,23040241
2180,0.00150443,3063.8,0.00157704,0.015302,13,27896700,16,21,20,20,11,113075,23130036
2190,0.00150948,3085.43,0.00158575,0.015085,13,28001682,16,21,20,20,11,113210,23183836
2200,0.00150586,3090.12,0.00157589,0.015822,13,28113128,16,21,20,20,11,113386,23246265
2210,0.00150777,3109.88,0.00159488,0.021255,13,28260348,16,21,20,20,11,113585,23326814
2220,0.00150884,3127.26,0.00158218,0.016794,13,28401898,16,21,20,20,11,113797,23400472
2230,0.00150344,3126.93,0.00157634,0.022698,13,28502767,16,21,20,20,11,113960,23466872
2240,0.00150302,3142.63,0.00155605,0.03362,13,28658433,16,21,20,20,11,114288,23552907
2250,0.00150548,3163.8,0.00158542,0.012024,13,28808368,16,21,20,20,11,114562,23630733
2260,0.00150208,3171.65,0.00156577,0.015557,13,28948622,16,21,20,20,11,114853,23719967
2270,0.00151044,3200.58,0.0016007,0.015992,13,29052013,16,21,20,20,11,114973,23794991
2280,0.00150756,3213.61,0.0016025,0.024579,13,29230804,16,21,20,20,11,115367,23908792
2290,0.00150562,3224.46,0.00155738,0.017061,13,29370510,16,21,20,20,11,115653,23997139
2300,0.00151295,3253.32,0.00155736,0.007936,13,29492047,16,21,20,20,11,115841,24063234
2310,0.00150331,3249.09,0.00158528,0.016038,13,29647165,16,21,20,20,11,116180,24178507
2320,0.00150531,3267.12,0.00155661,0.015855,13,29776176,16,21,20,20,11,116472,24249766
2330,0.00150848,3291.24,0.00158582,0.0075,13,29937439,16,21,20,20,11,116743,24344162
2340,0.00151098,3306.56,0.00160393,0.016225,13,30028491,16,21,20,20,11,116848,24384072
2350,0.00151042,3317.7,0.00158782,0.016845,13,30142533,16,21,20,20,11,117011,24448246
2360,0.0014964,3302.22,0.00159276,0.021073,13,30287101,16,21,20,20,11,117287,24541155
2370,0.00149816,3321.12,0.00160116,0.026895,13,30429052,16,21,20,20,11,117579,24631778
2380,0.00149719,3333.18,0.00156184,0.022233,13,30563030,16,21,20,20,11,117767,24697623
2390,0.00149738,3352.97,0.001588,0.017197,13,30745373,16,21,20,20,11,118067,24805216
2400,0.00149545,3357.43,0.00156138,0.018941,13,30826301,16,21,20,20,11,118194,24858447
2410,0.00149039,3360.07,0.00157357,0.012702,13,30957783,16,21,20,20,11,118380,24940132
2420,0.00149165,3378.05,0.0015757,0.015612,13,31100808,16,21,20,20,11,118584,25028574
2430,0.00149367,3393.98,0.00154647,0.014791,13,31207548,16,21,20,20,11,118741,25076119
2440,0.00149001,3404.07,0.00156317,0.014498,13,31382792,16,21,20,20,11,119051,25187878
2450,0.00149293,3426.39,0.00155049,0.020534,13,31529854,16,21,20,20,11,119265,25275686
2460,0.00148876,3431.49,0.00155259,0.019817,13,31668744,16,21,20,20,11,119508,25343473
2470,0.00149477,3464.01,0.00157411,0.015999,13,31846427,16,21,20,20,11,119862,25455323
2480,0.00149514,3479.19,0.00158656,0.01587,13,31981000,16,21,20,20,11,120160,25519888
2490,0.00149239,3483.35,0.001579,0.0146,13,32079339,16,21,20,20,11,120276,25573810
2500,0.00149464,3505.44,0.00157707,0.027653,13,32239333,16,21,20,20,12,120612,25687159
2510,0.00149197,3517.21,0.00158769,0.025883,13,32410775,16,21,20,20,12,120899,25790012
2520,0.00149445,3544.17,0.00156393,0.015615,13,32611957,16,21,20,20,12,121213,25905369
2530,0.00149816,3565.49,0.00159723,0.020949,13,32728510,16,21,20,20,12,121349,25972773
2540,0.0014949,3570.64,0.00154996,0.016656,13,32850327,16,21,20,20,12,121629,26069150
2550,0.00149147,3577.37,0.00160616,0.631788,13,32991131,16,21,20,20,12,121841,26145690
2560,0.00148509,3574.83,0.00156035,0.015314,13,33111584,16,21,20,20,12,121989,26225984
2570,0.00149678,3617.39,0.00154703,0.007733,13,33247113,16,21,20,20,12,122140,26297184
2580,0.00149716,3628.5,0.00156347,0.030475,13,33341899,16,21,20,20,12,122237,26347499
2590,0.00149668,3639.68,0.0015948,0.020887,13,33457151,16,21,20,20,12,122381,26419209
2600,0.00149367,3644.07,0.00159597,0.017333,13,33566144,16,21,20,20,12,122503,26491569
2610,0.00149268,3652.7,0.00156092,0.016496,13,33669572,16,21,20,20,12,122675,26547623
2620,0.00149131,3662,0.00156123,0.020834,13,33789759,16,21,20,20,12,122855,26607106
2630,0.00149369,3680.92,0.00157843,0.019141,13,33912247,16,21,20,20,12,122999,26670821
2640,0.00149759,3704.12,0.00158821,0.019891,13,34042052,16,21,20,20,12,123448,26771305
2650,0.00149168,3706.02,0.00157121,0.016888,13,34198587,16,21,20,20,12,123748,26850109
2660,0.00149193,3721.68,0.00158823,0.016514,13,34340684,16,21,20,20,12,123891,26941222
2670,0.00149005,3731.26,0.00158156,0.01142,13,34475040,16,21,20,20,12,124088,27003193
2680,0.00149399,3753.28,0.00159641,0.0276,13,34588188,16,21,20,20,12,124296,27080733
2690,0.00149125,3757.99,0.0015608,0.016719,13,34697521,16,21,20,20,12,124574,27149628
2700,0.00148978,3770.62,0.00159786,0.015976,13,34852801,16,21,20,20,12,124782,27212186
